CustomerID,Name,AvgDaysBetweenOrders
726,"Andrew Riddle",126.00
599,"James White",126.00
802,"Andrew Monroe",126.00
966,"Matthew Brooks",126.40
784,"Pamela Shelton",126.57
119,"Amber Taylor",126.67
968,"Darlene Mcintosh",127.07
738,"Tammie Clark",127.80
227,"Brian Patel",128.00
399,"Shirley Rios",128.00
934,"Judith Hill",128.20
832,"Jennifer Cooper",128.67
260,"Sarah Barnes",129.20
11,"Zachary Smith",129.33
33,"Kevin Ford",13.00
554,"Michael Clark",13.00
284,"Alexandria Walker",130.00
56,"Chelsea Clarke",130.00
957,"Jamie Palmer",130.00
427,"Mariah Mitchell",130.00
648,"Kristen Howard",130.67
474,"Eric Haley",131.00
984,"Angel Moody",131.33
77,"Sherry Sanchez",131.33
84,"Evan Riley",132.00
520,"Carla Arnold",132.00
575,"Linda Lawson",132.00
167,"Rachel Smith",132.00
749,"Michelle Malone",132.20
467,"Sherry Lee",132.67
162,"Ashley Krueger",132.67
822,"Alejandro Miller",132.67
824,"Robert Rodriguez",133.00
860,"Samuel Holmes",133.67
872,"Hector Davis",134.50
766,"Thomas Beck",134.67
367,"Lisa Travis",135.00
391,"Paul Williams",135.17
468,"Angela Moore",135.17
356,"James Little",136.00
646,"Jeremy Mueller",136.00
449,"John Wells",136.00
442,"Mckenzie Torres",136.00
230,"Brian Hanson",136.67
884,"Heather Chavez",136.67
379,"Tracy Brewer",137.00
362,"Lisa Mcintyre",137.00
305,"Zachary Thompson",137.80
180,"Kristi Sexton",137.80
659,"Jennifer Martinez",138.00
161,"Derek Lambert PhD",138.67
662,"Jennifer Olsen",138.76
756,"David Evans",139.00
78,"Kyle Jackson",139.33
624,"Christian Barker",14.00
730,"Jill Burns",14.00
490,"Dr. Jason Hamilton",14.00
149,"Brittney Wade",140.00
322,"Brian Barnett",140.00
757,"Julie Robinson",140.18
194,"Nicholas Miller",140.20
744,"Dr. Tim Cisneros",140.20
647,"Ricky Finley",140.33
14,"Patrick Mcdaniel",140.67
352,"Lisa Wood",141.00
234,"David Taylor",141.20
798,"Paul Hudson",141.27
940,"Emily Pope",141.33
792,"Michael Harper",141.83
600,"Sierra Gonzalez",142.00
22,"Bethany Weaver",143.33
561,"Kimberly Moore",143.33
660,"Jack Summers",144.00
563,"Jose Rice",144.00
246,"Chelsea Fox",144.00
543,"Raymond Kaiser",144.00
332,"Rachel Wheeler",144.00
157,"Brenda Wright",144.00
144,"Veronica Morris",144.00
383,"Matthew Leon",144.67
829,"Michele Schmidt",145.20
867,"Jennifer Velasquez",145.50
300,"Richard Thomas",145.73
211,"Darrell Andrews",145.83
409,"Glenn Mann MD",146.00
151,"Brooke Sutton",146.00
451,"Michael Garcia",146.00
426,"Susan Taylor",146.20
664,"Samuel Huff",146.20
679,"Mr. Austin Travis",146.50
222,"Christopher Mcgrath",146.50
768,"Gail Harris",146.83
525,"Jeffrey Moody",147.00
336,"Samantha Smith",147.00
65,"Victor Morales",147.00
103,"Carrie Nunez",147.33
212,"Melinda Heath",148.00
374,"Colleen Davila",148.67
431,"Donald Tucker",148.67
450,"Christopher Olson",149.33
205,"Miranda Boyd",149.67
386,"Charles Elliott",149.83
405,"Lauren Bruce",15.00
72,"Tamara Richards",15.00
930,"Patrick Hunt",15.00
419,"Tina Rodriguez",15.00
592,"Christopher Berry",15.00
314,"Deborah Pacheco",15.50
905,"Ryan Murray",150.00
922,"Mrs. Mary Johnson",150.17
754,"Linda Hoffman",150.67
210,"Brittany Aguirre",151.00
601,"Teresa Lutz",151.00
967,"Sarah Chavez",151.50
571,"Nancy Castro",151.60
609,"Jeremy Mahoney",151.83
985,"Alicia Cruz",152.00
702,"James Wilson",152.67
851,"John Rowland",152.67
945,"Lisa Murphy",152.80
976,"Mrs. Laura Little",153.00
978,"Joseph Mills",153.00
67,"Melanie Martin",153.00
484,"Wendy Sanders",154.00
264,"Bill Pena",154.00
875,"Michael Garner",154.00
939,"Jeffrey Roberts",154.17
975,"Rhonda Jones",154.40
988,"Karen Hall",154.67
266,"Robert Mcbride",154.67
805,"Jason Potts",155.07
569,"Robert Sutton",155.60
508,"David Armstrong",156.00
282,"Amanda Watts",156.19
321,"Brandon Ortiz",156.60
898,"Alicia Davis",156.67
676,"Veronica Sparks",156.80
34,"Kyle Rose",157.17
255,"Kelsey Foley",157.33
206,"Anna Wells",157.53
997,"Melissa Brown",157.73
138,"Nathaniel Martin",158.40
674,"Joshua Phillips",158.40
122,"Miss Amanda Williams",159.33
394,"Rebecca Frank",159.83
929,"Hannah Miller",16.67
565,"Jose Yates",160.00
704,"Shelley Smith",160.67
106,"Shawn Thompson",161.00
19,"Joshua Farley",161.00
996,"Wendy Watkins",161.33
320,"William Williams",162.00
52,"Erik Fleming MD",162.00
309,"Kimberly Johnson",162.17
958,"Rick Alexander",162.60
363,"Trevor Martinez",162.67
489,"Jordan Villegas",163.00
602,"Andrew Mccarthy",163.33
463,"Benjamin Williams",165.00
291,"Frederick Patton",165.33
634,"Steven Ward",166.00
685,"Shawn Mckee",166.00
616,"Belinda Harper",166.17
541,"Mark Rodriguez",167.00
307,"Shane Taylor",167.33
400,"Chad Allen",168.00
612,"William Daugherty",168.00
540,"Lucas Cooper",168.67
854,"Jasmine Nguyen",168.83
401,"Tyler Galvan",169.00
123,"Amber Walton",169.33
523,"Juan Parker",17.00
718,"Heather Franco",17.00
422,"Sheila Woods",17.00
126,"Christine Horne",170.00
686,"Kristin Ramirez",170.67
377,"George Decker",171.00
428,"Jeffery Medina",172.00
836,"Catherine Walker",172.00
842,"William Blankenship",172.33
935,"Nicole Randolph",172.33
767,"Charlotte Haynes",173.00
699,"Roger Brown",173.33
610,"Andrew Holloway",174.00
285,"Blake Mendoza",174.00
557,"Larry Fleming",174.00
542,"Jeffrey Mason",174.50
712,"Tyler Hodges PhD",175.00
465,"Kathy Leach",175.33
682,"Connie Robinson",176.00
979,"Christopher Smith",176.00
214,"Stephen Bonilla",176.00
116,"Denise Edwards",176.00
804,"Mrs. Margaret Moore MD",176.67
723,"Sandra Murray",177.33
631,"Eric Malone",178.00
628,"Stacey Elliott",178.00
62,"Kelly Floyd",178.60
562,"Mrs. Shelby Harris MD",179.00
522,"Kari Trevino",18.00
396,"Mrs. Jessica Brown",180.00
629,"Dustin Foley",180.83
560,"Michael Campbell",180.93
889,"Dylan Le",181.83
195,"Aimee Wilson",182.67
593,"Kelsey Hill",183.00
202,"Kathryn Walker",183.00
36,"Crystal Hoffman",183.00
165,"Charles Alexander",184.00
256,"Stephen Thompson",184.00
185,"Victoria Collins",184.00
85,"Richard Day",187.00
735,"Richard Smith",188.00
104,"Scott Henry",19.00
893,"Alvin Mendoza",19.00
760,"Cynthia Waters",19.00
952,"Nicholas Garrett",19.33
276,"William Mcdaniel",190.00
269,"Meagan James",191.67
506,"Martin Young",192.00
311,"Linda Campos",192.00
528,"Rodney Blackwell",192.00
140,"Angela Allen",192.50
51,"Robert Jones",194.00
672,"Vincent Williams",195.20
64,"Daniel Johnson",195.50
221,"Debra Dalton",196.00
844,"Crystal Donaldson",197.33
808,"Jessica Mcmahon",198.67
1,"Michelle Livingston",2.00
135,"Sharon Hughes",200.00
896,"Miss April Reynolds",200.67
31,"Jeanne Carpenter",201.00
328,"Paul Garza",202.00
48,"Gregory Powell",202.00
622,"Michael Baker",203.00
439,"Peter Sawyer",203.00
218,"Samantha Odonnell",204.00
115,"Kathleen Murphy",204.83
267,"Margaret Montgomery",205.00
430,"Lori Juarez",205.33
94,"Matthew Harmon",206.00
416,"Shannon Clark",207.33
147,"Frederick Guzman",208.00
787,"Michael Patterson",208.00
954,"Cassandra Maynard",21.00
83,"Ryan Nguyen",21.00
806,"Cheryl Watson",210.00
39,"Wendy Cortez",210.00
797,"Stacy Smith",210.00
770,"Christopher Jones",211.00
290,"Timothy Perez",213.00
331,"Tiffany Johns",213.00
517,"Christopher Griffith",214.67
960,"Heather Anderson",215.00
87,"Mercedes Hernandez",216.00
837,"Charles Lowe",218.00
462,"Michael Mcguire",22.00
223,"Krystal Gregory",22.00
692,"Gary Martinez Jr.",22.00
283,"Ronald Garcia",220.00
982,"Luke Mckinney",221.00
435,"Raymond Smith",221.00
76,"Andrew Horton",222.00
970,"Robert Dickson",222.00
365,"Lauren Shepherd",223.00
932,"Jessica Jones",224.00
375,"Peter Nelson MD",225.00
621,"Isabel Taylor",229.00
304,"Laura Smith",230.00
732,"Steven Rivera",230.00
58,"Brandy Anderson",231.33
436,"Tiffany Frey",234.00
340,"Carolyn Keller",235.00
32,"Lisa Nguyen",236.00
186,"Michael Shaw",236.00
272,"Rhonda Wells",237.00
558,"George Johnson",237.33
771,"Savannah Delgado",240.00
963,"Robin Anderson",241.00
226,"Edwin Thomas",244.00
299,"Judy Davis",245.00
487,"Christine James",246.00
709,"Linda Walton",247.00
782,"Samuel Williams",25.00
964,"Emily Cantu",252.00
80,"James Brock",254.00
263,"Christopher Walls",255.00
825,"Jade Manning",256.00
209,"Michael Lamb",257.00
237,"Troy Banks",258.00
293,"Michelle Maddox",26.00
97,"Jennifer Weaver DVM",26.00
323,"Tammy Richardson",260.00
579,"James Stafford",260.00
500,"James Morales",262.00
779,"Cory King",264.00
107,"James Rodriguez",264.00
688,"Crystal Hubbard",265.00
174,"Austin Rowe",267.00
710,"Yvette Wheeler",267.00
911,"Kevin Morrison",269.00
54,"Claire Watson",27.33
110,"Pamela Perez",27.33
849,"Kimberly Smith",274.00
350,"Monica Williams",277.00
479,"Christopher Brown",28.00
392,"Christopher Flores",28.00
526,"Heidi Mclaughlin",285.00
30,"Adam Newman",286.00
387,"Christine Bryant",289.00
244,"Tom Gilbert",29.00
765,"Daniel Brooks",293.00
353,"Chad Lee",3.00
815,"Steve Clark Jr.",3.00
881,"Oscar Carter",3.00
705,"Dr. Amber Gates MD",302.00
677,"Joanna Hunt",303.00
201,"Mr. Timothy Stewart",304.00
644,"Michael Hernandez",305.00
368,"Tammy Williams",307.00
480,"Joshua Scott",309.00
605,"Andrew Knight",31.00
7,"Dr. Paula Perry",31.00
906,"Lori Scott",311.00
42,"Rebecca Lewis",320.00
775,"Carlos Austin",34.00
915,"Maurice Sanders",34.00
589,"Thomas Daniel",35.33
232,"Susan Williams",350.00
731,"Cindy Johnson",36.00
2,"Teresa Moon",38.00
722,"James Richardson",38.00
216,"Richard Dean",38.00
393,"Rebecca Franklin",39.00
750,"Jeanette Reed",39.20
74,"Matthew Werner",39.33
751,"Justin Lambert",39.33
827,"Steven Garcia",39.67
75,"Corey Mccarthy",4.00
271,"Mitchell Smith",4.00
645,"Anthony Lopez",40.00
217,"Rachel Larsen",42.00
213,"Joseph Clark",42.14
752,"Tricia Santana",42.67
947,"Taylor Grant",43.00
524,"Angelica Morris",43.00
830,"Harold Davis",43.33
355,"Allison Madden",45.00
507,"Julia Chavez",45.00
113,"Jose Friedman",45.00
550,"Danielle Sanders",45.33
423,"Ryan Lopez",46.00
173,"Sarah Cortez",46.00
172,"Christina Miller",46.00
45,"Laura Shannon",46.00
454,"Elizabeth Miller",48.00
35,"Ariel Harris",48.00
242,"Adrienne Carrillo",48.67
923,"Erik Hickman",49.00
788,"Thomas Beasley",49.33
971,"Frank Robles",49.83
469,"Megan Anderson",5.00
455,"William Vasquez",5.00
150,"Julia Turner",5.00
130,"Joe Salinas",51.33
778,"Jason Carson",51.33
607,"Hannah Martinez",52.00
499,"Daniel Holt",52.00
199,"Miss Jane Johnson",52.00
15,"Karen Murray",52.00
904,"Shelly Allen",52.00
999,"Laura Griffin",52.83
425,"Felicia Rodriguez",53.00
337,"Melissa Rivera",53.33
900,"Alexa Williams",53.33
755,"Becky Smith",54.00
527,"Michelle Morales",54.00
580,"Dawn Dennis",54.00
249,"Ms. Natasha Odonnell",54.00
153,"Jessica Powell",55.00
26,"Brandon Brown",55.00
938,"Donna Cummings",55.00
835,"Angela Lopez",55.33
207,"Kristen Reynolds",56.00
101,"Yesenia Cowan",56.17
338,"Brandi Romero",56.67
841,"Teresa Reyes",57.00
853,"Mark Blankenship",57.00
247,"Jane Harris",57.33
989,"John Taylor",57.33
16,"Brian Hardy",58.00
388,"Debra Watkins",58.00
9,"Victoria Fowler",58.00
855,"Timothy Griffith",58.17
618,"Carolyn Bass",59.50
611,"Joseph Matthews",6.00
942,"Kenneth Huang",60.00
133,"Joyce Jones",60.00
638,"Jose Brown",60.40
254,"Melissa Jenkins",60.67
292,"Amber Bailey",60.83
843,"Cheryl Cox",61.33
137,"Maria Johnson",62.00
781,"Lisa Snow",62.00
128,"Derek Kelly",63.00
551,"Toni Long",63.00
879,"Jeffrey Mendoza",63.33
240,"Michael Sullivan",64.00
512,"Jasmine Bates",64.33
258,"Mrs. Samantha Walker",65.20
289,"Andrew Turner",65.33
477,"David Brown",66.00
8,"Sean Lee",66.00
473,"Cassie Morris",66.50
158,"Sarah Hood",66.50
111,"Tara Franklin",66.60
863,"Jessica Kennedy",67.33
874,"Michael Coleman",67.67
259,"Tamara Hamilton",67.80
17,"Amanda Ayers",68.00
959,"William Cooper",68.00
986,"Ann Schaefer",68.17
972,"Robert Vazquez",68.40
99,"Fernando Hendrix",69.00
495,"Linda Riley",69.20
503,"Stefanie Valenzuela",69.33
475,"Michael Little",69.40
245,"Danielle Welch",69.80
100,"Tracy Sharp MD",69.80
719,"William Perez",70.00
40,"Jackie Brooks",70.00
505,"Dr. Melissa Hudson DVM",70.17
891,"Alicia Ballard",70.83
152,"David Bowen",71.00
630,"Melissa Smith",71.00
790,"Philip Morris",71.17
924,"Cheryl Miles",71.33
343,"Jeffrey Price",71.33
4,"Jason Jones",72.80
588,"Pamela House",73.00
742,"Amy Cook",73.20
547,"Charles Collins",73.33
24,"Robert Gonzales",73.93
229,"Mark Reyes",74.00
626,"Michael Jackson",74.00
921,"Brittany Smith",74.67
895,"Brandi Pittman",75.33
60,"Shirley Ware",76.00
608,"Jeffery Andersen",76.00
250,"Michelle Lucas",76.33
481,"Kelly Garza",76.83
544,"Robert Flores",77.33
511,"Jacob Davis",77.33
772,"Willie Graham",78.00
736,"Jeffrey Wilson",78.00
657,"Vanessa Douglas",78.67
769,"Mrs. Lisa Griffith",78.67
847,"Brian Russell",78.83
433,"Jennifer Garcia",79.33
974,"Tiffany Crawford",79.33
380,"Kelly Rios",80.00
774,"Todd Stevens",80.00
200,"George Hughes",80.00
948,"William Jenkins",80.80
168,"Harry Arnold",80.83
441,"Jeffrey Bell",81.00
376,"Stephanie Kirby",81.00
88,"Elizabeth Lucas",81.33
584,"Paula Erickson",82.00
555,"Sharon Santana",82.00
456,"Jacqueline Prince",82.83
49,"Jasmin Patel",82.86
936,"Cesar Jones",83.00
852,"Frank Poole",83.33
758,"Danny Owens",83.33
663,"Alejandro Jones",84.00
354,"Thomas Ramirez",84.67
408,"Ashley Hayden",84.67
281,"Elizabeth Stephens",85.33
993,"Kyle Kennedy",86.00
339,"Vickie Anderson",86.00
914,"Michael Brennan",86.00
57,"Jeffrey Davis",86.00
977,"Robert Rivera",87.00
516,"Jennifer Gregory",87.17
564,"Kimberly Burgess",87.33
478,"Walter Hunt",87.33
406,"James Benson",87.33
943,"Peter Miller",88.00
552,"Julie Todd",88.00
163,"Catherine Nelson",88.67
459,"Debbie Evans",89.00
159,"Donald Edwards",89.20
68,"Ruth Shields",89.80
918,"Cindy Pratt",89.83
160,"Thomas Bray",9.00
488,"Elizabeth Thompson",9.00
204,"Clinton Holland",90.33
444,"Melissa Greene",91.17
233,"Sarah Bowers",92.00
1000,"David Sandoval",92.67
572,"Shannon Perez",92.67
127,"Allen Torres",93.00
166,"Denise Preston",93.40
570,"Chad Townsend",94.00
785,"Roberta Rubio",94.00
633,"Brandon Rojas",94.00
325,"Jessica Reilly",94.50
385,"Donna Castillo",95.00
907,"Richard Hamilton",95.40
297,"Shannon Rogers MD",95.40
315,"Mary Moore",95.87
899,"Jeremiah Thomas",95.87
417,"Brittany Cross",97.00
796,"Michael Harris",97.20
59,"Michelle Murphy",97.33
831,"Michelle Becker",97.33
81,"Carrie Holmes",99.00
573,"Amber Obrien",99.00
632,"Kenneth Rocha",99.17
448,"Matthew Knapp",99.33
566,"Linda Mcpherson",99.47
691,"Karl Ellis",99.50
483,"John Bauer",99.60
37,"James Hernandez",99.67
