CustomerID,Name,AvgOrderValue
370,"Stephen Mccoy",689.69
254,"Melissa Jenkins",688.49
605,"Andrew Knight",688.18
372,"Robin Stephens",687.24
440,"Sarah Thomas",686.58
672,"Vincent Williams",686.26
874,"Michael Coleman",685.79
316,"Kyle Davidson",684.89
735,"Richard Smith",684.74
436,"Tiffany Frey",684.07
778,"Jason Carson",682.55
264,"Bill Pena",681.62
970,"Robert Dickson",681.03
677,"Joanna Hunt",680.40
454,"Elizabeth Miller",680.19
369,"Jennifer Bryant",68.18
46,"Carla Cook",678.87
849,"Kimberly Smith",678.01
434,"Mallory Faulkner",677.60
8,"Sean Lee",677.21
708,"Tammy Williams",677.14
517,"Christopher Griffith",676.28
631,"Eric Malone",676.02
614,"Tara Doyle",675.62
124,"Garrett Wright",675.11
678,"Sean Johnson",673.91
681,"Kari Miller",672.18
35,"Ariel Harris",671.91
324,"Trevor Gordon",671.81
64,"Daniel Johnson",671.71
545,"Christopher Ashley",671.22
876,"Andrea Flores",670.80
897,"Carla Hess",67.08
170,"Kathryn Hunt",669.77
135,"Sharon Hughes",666.98
518,"Mrs. Danielle Chandler",664.94
752,"Tricia Santana",664.76
419,"Tina Rodriguez",664.40
890,"David Ortiz",664.06
721,"Victoria Johnson",663.71
530,"Rebecca Payne",663.66
942,"Kenneth Huang",663.06
393,"Rebecca Franklin",661.71
110,"Pamela Perez",661.18
381,"Jeffrey Williams",660.07
941,"Michaela Pratt",659.99
924,"Cheryl Miles",658.50
999,"Laura Griffin",658.16
81,"Carrie Holmes",657.98
732,"Steven Rivera",656.96
800,"Julia Brennan",656.78
804,"Mrs. Margaret Moore MD",656.69
666,"Matthew Dickson",656.68
42,"Rebecca Lewis",656.49
95,"Walter Huang",655.21
742,"Amy Cook",654.74
547,"Charles Collins",653.28
482,"Keith Smith",652.90
544,"Robert Flores",652.13
507,"Julia Chavez",651.86
423,"Ryan Lopez",651.38
895,"Brandi Pittman",651.26
259,"Tamara Hamilton",651.24
958,"Rick Alexander",650.97
23,"Jessica Byrd",65.43
224,"Jennifer Jackson",649.92
896,"Miss April Reynolds",648.29
709,"Linda Walton",647.58
570,"Chad Townsend",647.52
586,"Richard Nunez",646.62
200,"George Hughes",646.36
905,"Ryan Murray",645.39
292,"Amber Bailey",645.09
412,"Crystal Porter",643.98
807,"Nathan Rowe",643.89
917,"Cody Bowman",643.64
594,"Ricardo Wolfe",642.10
204,"Clinton Holland",641.53
406,"James Benson",641.30
638,"Jose Brown",641.19
649,"Thomas Thomas",640.82
550,"Danielle Sanders",639.77
661,"Cheryl Nichols",639.51
726,"Andrew Riddle",639.33
388,"Debra Watkins",638.70
401,"Tyler Galvan",638.39
353,"Chad Lee",637.31
202,"Kathryn Walker",636.63
29,"Julia Brown",636.49
152,"David Bowen",634.72
986,"Ann Schaefer",633.89
130,"Joe Salinas",632.90
972,"Robert Vazquez",632.00
973,"Sheila Martin",631.44
581,"Sylvia Lee",629.88
836,"Catherine Walker",629.78
285,"Blake Mendoza",629.28
619,"Laura Williams",627.97
585,"Victor Davis",627.75
682,"Connie Robinson",627.67
610,"Andrew Holloway",627.23
653,"Melanie Stewart",627.08
620,"James Ewing",626.40
26,"Brandon Brown",624.91
442,"Mckenzie Torres",624.12
106,"Shawn Thompson",623.32
469,"Megan Anderson",623.21
463,"Benjamin Williams",623.08
663,"Alejandro Jones",621.94
260,"Sarah Barnes",620.88
877,"Alison Lee",620.60
415,"Stephanie Richmond",62.42
523,"Juan Parker",619.60
58,"Brandy Anderson",619.13
295,"Christopher Brooks",618.60
14,"Patrick Mcdaniel",617.90
450,"Christopher Olson",617.58
927,"Denise Smith",617.46
528,"Rodney Blackwell",617.36
59,"Michelle Murphy",616.92
220,"Dennis Harris",616.58
795,"Hannah Wells",616.32
557,"Larry Fleming",614.26
221,"Debra Dalton",613.59
761,"Deborah Lewis",613.28
155,"Lisa Martinez",612.74
25,"Shari King",612.49
951,"Gregory Anderson",612.31
609,"Jeremy Mahoney",612.31
698,"Jacqueline Rodriguez",611.73
171,"Jennifer Miller",611.61
439,"Peter Sawyer",609.81
38,"Jacob Brown",609.42
158,"Sarah Hood",609.13
996,"Wendy Watkins",608.80
669,"Eric Morrison",608.08
244,"Tom Gilbert",607.86
718,"Heather Franco",607.14
475,"Michael Little",607.06
959,"William Cooper",605.42
184,"Debra Evans",605.25
785,"Roberta Rubio",605.11
995,"Philip Rodriguez",603.83
6,"Tracy Whitaker",603.78
998,"Sarah Rivera",603.03
255,"Kelsey Foley",603.01
739,"Steven Sanders",601.92
397,"Tiffany Russell",601.66
667,"Rebekah Carter",601.17
379,"Tracy Brewer",600.47
332,"Rachel Wheeler",599.80
516,"Jennifer Gregory",597.98
744,"Dr. Tim Cisneros",597.49
997,"Melissa Brown",596.93
127,"Allen Torres",596.69
602,"Andrew Mccarthy",596.29
903,"Robert Holmes",596.14
867,"Jennifer Velasquez",595.80
484,"Wendy Sanders",595.74
843,"Cheryl Cox",594.41
671,"Patrick Beck",593.12
488,"Elizabeth Thompson",593.02
85,"Richard Day",592.53
335,"Robert Harmon",590.50
756,"David Evans",590.30
227,"Brian Patel",589.35
299,"Judy Davis",588.39
639,"Wayne Matthews",587.37
757,"Julie Robinson",587.36
243,"Christine Gonzalez",587.01
165,"Charles Alexander",586.16
566,"Linda Mcpherson",586.12
984,"Angel Moody",586.07
377,"George Decker",586.05
160,"Thomas Bray",585.98
232,"Susan Williams",584.65
365,"Lauren Shepherd",583.78
526,"Heidi Mclaughlin",582.51
317,"James Fletcher",581.41
829,"Michele Schmidt",579.66
333,"Alexandra Bradley",579.62
770,"Christopher Jones",579.22
19,"Joshua Farley",578.70
939,"Jeffrey Roberts",578.59
89,"Chad Snyder",578.49
563,"Jose Rice",578.41
245,"Danielle Welch",577.54
540,"Lucas Cooper",577.25
694,"Kenneth Leon",576.82
164,"Jessica Maddox",575.97
213,"Joseph Clark",575.96
840,"Sierra Taylor",575.85
211,"Darrell Andrews",575.64
956,"Cynthia Cummings",575.04
246,"Chelsea Fox",574.64
172,"Christina Miller",571.93
979,"Christopher Smith",570.78
702,"James Wilson",570.65
405,"Lauren Bruce",57.32
323,"Tammy Richardson",569.74
79,"Christopher Schultz",568.96
348,"Gregory Adams",568.88
784,"Pamela Shelton",568.78
37,"James Hernandez",568.30
188,"Crystal Sanchez",567.97
560,"Michael Campbell",567.71
900,"Alexa Williams",567.44
314,"Deborah Pacheco",567.03
908,"Kayla Santana",566.59
525,"Jeffrey Moody",564.88
309,"Kimberly Johnson",564.69
396,"Mrs. Jessica Brown",564.53
758,"Danny Owens",564.02
543,"Raymond Kaiser",563.88
87,"Mercedes Hernandez",563.73
376,"Stephanie Kirby",562.98
2,"Teresa Moon",562.16
683,"Adrian Martin",562.15
827,"Steven Garcia",560.96
385,"Donna Castillo",560.48
51,"Robert Jones",559.47
495,"Linda Riley",559.45
932,"Jessica Jones",559.20
749,"Michelle Malone",559.12
503,"Stefanie Valenzuela",558.95
182,"Monique Miller",557.50
946,"Robert Bradley",557.41
337,"Melissa Rivera",556.38
841,"Teresa Reyes",554.21
869,"Robert Turner",551.28
195,"Aimee Wilson",550.14
584,"Paula Erickson",549.12
138,"Nathaniel Martin",548.37
34,"Kyle Rose",547.92
383,"Matthew Leon",547.79
180,"Kristi Sexton",544.92
190,"Philip Carter",544.33
750,"Jeanette Reed",544.12
687,"Kimberly Nelson",543.93
222,"Christopher Mcgrath",543.92
923,"Erik Hickman",543.42
571,"Nancy Castro",543.25
712,"Tyler Hodges PhD",543.07
730,"Jill Burns",542.59
504,"Jeffrey Cooley",541.53
815,"Steve Clark Jr.",540.63
490,"Dr. Jason Hamilton",539.80
819,"Sara Williams",539.58
952,"Nicholas Garrett",539.20
275,"David Wilson",538.79
375,"Peter Nelson MD",538.73
119,"Amber Taylor",538.15
774,"Todd Stevens",537.13
519,"Brett Coleman",536.57
640,"Dennis Christian",535.46
315,"Mary Moore",535.06
492,"Jeremy Wilson",534.95
806,"Cheryl Watson",534.54
880,"Tonya Mcneil",534.33
185,"Victoria Collins",533.02
974,"Tiffany Crawford",531.27
568,"Danielle Parker",530.08
325,"Jessica Reilly",530.03
168,"Harry Arnold",530.01
961,"Sarah Carpenter",529.90
987,"Julia Bowen",528.10
478,"Walter Hunt",527.85
611,"Joseph Matthews",527.02
311,"Linda Campos",526.60
968,"Darlene Mcintosh",526.54
813,"Michelle Ponce",526.15
217,"Rachel Larsen",525.42
344,"Brian Keller",524.24
480,"Joshua Scott",524.01
797,"Stacy Smith",523.87
282,"Amanda Watts",523.06
331,"Tiffany Johns",522.49
865,"James Drake",522.24
448,"Matthew Knapp",521.72
201,"Mr. Timothy Stewart",521.12
322,"Brian Barnett",520.86
90,"Kristin Alexander",520.34
569,"Robert Sutton",520.06
515,"Angela Martin DVM",519.51
420,"Morgan Paul",519.20
705,"Dr. Amber Gates MD",518.37
599,"James White",518.36
193,"Dominique Brown",517.96
561,"Kimberly Moore",517.85
577,"Donald Tran",517.81
55,"Shannon Kelly",517.35
722,"James Richardson",515.74
751,"Justin Lambert",515.63
592,"Christopher Berry",515.53
72,"Tamara Richards",513.27
981,"Jason Roach",512.55
513,"Ryan Warren",512.30
100,"Tracy Sharp MD",511.93
724,"Amy Perez",511.36
651,"Suzanne Sanchez",511.35
194,"Nicholas Miller",511.32
191,"Brian Ali",511.03
978,"Joseph Mills",511.00
233,"Sarah Bowers",510.77
121,"Elizabeth Ware",510.18
796,"Michael Harris",510.04
308,"Lisa Higgins",509.34
512,"Jasmine Bates",509.33
766,"Thomas Beck",509.15
710,"Yvette Wheeler",508.74
467,"Sherry Lee",508.40
310,"Charles Wilson",507.73
686,"Kristin Ramirez",506.66
593,"Kelsey Hill",506.13
1000,"David Sandoval",505.34
790,"Philip Morris",504.82
113,"Jose Friedman",504.22
847,"Brian Russell",503.43
633,"Brandon Rojas",503.38
748,"Mr. Daryl Lopez",502.94
15,"Karen Murray",502.94
94,"Matthew Harmon",502.52
339,"Vickie Anderson",501.70
846,"Alicia Mcintyre",501.27
820,"Alicia Riley",500.92
830,"Harold Davis",500.42
290,"Timothy Perez",500.02
225,"Allison Rodriguez",50.68
50,"Christopher Baker",499.88
101,"Yesenia Cowan",499.87
690,"James Smith",499.50
78,"Kyle Jackson",499.33
157,"Brenda Wright",498.02
394,"Rebecca Frank",498.01
782,"Samuel Williams",496.69
477,"David Brown",496.30
305,"Zachary Thompson",496.12
971,"Frank Robles",495.64
894,"Scott Williams",495.61
266,"Robert Mcbride",494.99
860,"Samuel Holmes",494.66
49,"Jasmin Patel",493.90
389,"Duane Perry",493.44
174,"Austin Rowe",493.32
575,"Linda Lawson",493.14
802,"Andrew Monroe",492.89
390,"David Jacobson",491.67
622,"Michael Baker",490.34
975,"Rhonda Jones",490.14
430,"Lori Juarez",489.91
738,"Tammie Clark",489.19
826,"Sara Schmidt",488.60
9,"Victoria Fowler",487.31
967,"Sarah Chavez",487.28
542,"Jeffrey Mason",486.28
5,"Mercedes Riley",485.96
589,"Thomas Daniel",485.65
76,"Andrew Horton",485.51
32,"Lisa Nguyen",485.00
662,"Jennifer Olsen",484.80
884,"Heather Chavez",484.62
462,"Michael Mcguire",484.16
40,"Jackie Brooks",483.84
852,"Frank Poole",483.04
787,"Michael Patterson",481.28
855,"Timothy Griffith",481.07
803,"Courtney Galloway",480.44
234,"David Taylor",478.32
646,"Jeremy Mueller",477.91
910,"Noah Collins",477.61
676,"Veronica Sparks",477.39
918,"Cindy Pratt",476.55
943,"Peter Miller",474.95
60,"Shirley Ware",473.93
167,"Rachel Smith",473.93
207,"Kristen Reynolds",473.14
767,"Charlotte Haynes",472.97
657,"Vanessa Douglas",471.09
608,"Jeffery Andersen",470.74
271,"Mitchell Smith",470.62
864,"Erin Howard",47.25
395,"Raymond Lee",47.00
634,"Steven Ward",469.86
641,"Richard Beltran",469.62
715,"Julie White",468.70
538,"Nicholas Knight",468.65
17,"Amanda Ayers",467.76
54,"Claire Watson",467.68
812,"Spencer Hill",467.41
362,"Lisa Mcintyre",467.20
933,"Charles Hernandez",467.19
704,"Shelley Smith",467.16
727,"Johnny Parker",466.95
875,"Michael Garner",466.76
945,"Lisa Murphy",466.46
472,"Brian Suarez",466.46
422,"Sheila Woods",465.81
91,"Dawn Baker",465.60
747,"Allison Morgan",464.87
140,"Angela Allen",463.98
409,"Glenn Mann MD",462.90
109,"John Turner",462.24
33,"Kevin Ford",460.46
163,"Catherine Nelson",460.23
985,"Alicia Cruz",459.96
258,"Mrs. Samantha Walker",459.31
269,"Meagan James",459.30
768,"Gail Harris",459.14
954,"Cassandra Maynard",458.44
203,"Anthony Gonzalez",456.92
539,"William Heath",456.81
891,"Alicia Ballard",455.82
798,"Paul Hudson",455.71
66,"Kelsey Holder",455.53
755,"Becky Smith",455.43
181,"Mrs. Monica Peters MD",455.04
380,"Kelly Rios",454.74
627,"Maria Stout",454.18
312,"Dawn Lee",453.89
281,"Elizabeth Stephens",453.87
940,"Emily Pope",452.17
4,"Jason Jones",452.16
481,"Kelly Garza",451.99
771,"Savannah Delgado",450.49
733,"Walter Price",448.88
935,"Nicole Randolph",447.99
531,"Carolyn Reed",447.58
24,"Robert Gonzales",445.67
107,"James Rodriguez",444.52
352,"Lisa Wood",443.71
660,"Jack Summers",441.04
754,"Linda Hoffman",440.00
187,"Kayla Myers",44.56
249,"Ms. Natasha Odonnell",439.80
887,"Loretta Hughes",439.62
729,"Gabriela Wilson",439.53
685,"Shawn Mckee",439.28
838,"James Russo",438.13
45,"Laura Shannon",437.88
343,"Jeffrey Price",437.73
907,"Richard Hamilton",437.36
648,"Kristen Howard",436.84
336,"Samantha Smith",436.06
247,"Jane Harris",436.05
150,"Julia Turner",434.27
588,"Pamela House",433.74
805,"Jason Potts",433.74
839,"Richard Shields",433.44
615,"Katie Flores",432.91
936,"Cesar Jones",431.91
298,"Ryan Sims",431.81
105,"Derek Barnes",431.24
456,"Jacqueline Prince",429.34
808,"Jessica Mcmahon",429.13
723,"Sandra Murray",428.20
780,"Ryan Miller",428.03
810,"Tanya Kelley",427.97
993,"Kyle Kennedy",427.37
425,"Felicia Rodriguez",427.20
483,"John Bauer",424.14
658,"Kathryn Thomas",423.95
948,"William Jenkins",421.06
624,"Christian Barker",420.52
327,"Corey Snyder",42.75
62,"Kelly Floyd",419.63
108,"Anthony Ramos",418.09
859,"Wanda Jennings",417.98
272,"Rhonda Wells",417.57
214,"Stephen Bonilla",417.49
206,"Anna Wells",416.95
992,"Gabriella Trujillo",416.72
866,"Patricia Davis",416.71
505,"Dr. Melissa Hudson DVM",415.55
731,"Cindy Johnson",415.36
691,"Karl Ellis",413.14
161,"Derek Lambert PhD",413.14
919,"Hunter Mercer",411.94
350,"Monica Williams",411.93
642,"April Sullivan",410.09
988,"Karen Hall",409.28
899,"Jeremiah Thomas",409.11
307,"Shane Taylor",408.87
647,"Ricky Finley",408.30
824,"Robert Rodriguez",407.12
391,"Paul Williams",406.90
47,"Steven Hill",405.96
821,"Scott Moody",405.46
468,"Angela Moore",403.21
479,"Christopher Brown",403.17
111,"Tara Franklin",400.28
590,"Michael Hughes",40.84
36,"Crystal Hoffman",399.60
137,"Maria Johnson",399.03
664,"Samuel Huff",396.78
300,"Richard Thomas",395.93
679,"Mr. Austin Travis",395.30
173,"Sarah Cortez",395.11
508,"David Armstrong",393.50
644,"Michael Hernandez",392.77
595,"Gwendolyn Bradley",392.70
811,"Tracey Miller",391.86
673,"Jeffrey Williams",390.34
930,"Patrick Hunt",389.70
719,"William Perez",383.63
632,"Kenneth Rocha",383.50
964,"Emily Cantu",383.31
77,"Sherry Sanchez",383.08
734,"Jennifer Hernandez",382.87
969,"Sharon Shaffer",382.33
408,"Ashley Hayden",381.81
134,"Jennifer Lopez",381.10
270,"Carol Jones",380.58
241,"Lisa Watson",379.28
474,"Eric Haley",379.00
320,"William Williams",378.79
882,"Jacqueline Campbell",378.66
302,"Beverly Skinner",378.48
548,"Aaron Vance",375.11
400,"Chad Allen",373.97
832,"Jennifer Cooper",373.56
371,"Erin Flores",372.22
473,"Cassie Morris",371.93
794,"Bailey Roberts",371.88
453,"Mr. Patrick Craig",371.50
304,"Laura Smith",371.50
947,"Taylor Grant",371.39
921,"Brittany Smith",369.95
934,"Judith Hill",367.21
7,"Dr. Paula Perry",367.07
428,"Jeffery Medina",366.85
215,"Adam Lopez",366.64
329,"Andrew Lee",366.19
129,"Carl Hinton",365.98
139,"Jeremy Rodriguez",365.67
340,"Carolyn Keller",365.60
123,"Amber Walton",365.53
115,"Kathleen Murphy",365.38
256,"Stephen Thompson",365.32
147,"Frederick Guzman",364.88
128,"Derek Kelly",363.85
429,"Sherri Alexander",362.92
713,"Jose Hicks",361.40
991,"Joel Newman",361.02
403,"Katherine Roberson",36.56
983,"Abigail Daniels",359.96
902,"Tammy Clark",358.37
330,"Margaret Arias",357.66
580,"Dawn Dennis",357.29
906,"Lori Scott",356.89
458,"Sarah Leonard",356.80
728,"Katelyn Weaver",352.76
957,"Jamie Palmer",352.03
384,"Sara Griffith",350.32
459,"Debbie Evans",349.60
237,"Troy Banks",349.22
665,"William Lopez",348.22
357,"Cindy Petty",348.11
297,"Shannon Rogers MD",347.89
962,"Thomas Jones",347.69
551,"Toni Long",347.05
556,"Jason Johnson",345.60
240,"Michael Sullivan",343.93
205,"Miranda Boyd",343.22
659,"Jennifer Martinez",341.87
277,"Jeffrey Fields",340.69
230,"Brian Hanson",340.60
367,"Lisa Travis",339.84
56,"Chelsea Clarke",339.70
618,"Carolyn Bass",338.27
279,"Michael Valenzuela",337.77
655,"Matthew Richards",337.28
61,"Christopher Lucas",335.04
612,"William Daugherty",334.61
418,"Justin Robinson",333.46
356,"James Little",333.33
209,"Michael Lamb",333.28
346,"Paul Dixon",331.86
920,"Paige Miller",331.42
533,"Jennifer Key",330.94
364,"Rodney Thomas",33.01
541,"Mark Rodriguez",328.80
929,"Hannah Miller",327.74
514,"Christopher Baker",327.42
321,"Brandon Ortiz",327.31
97,"Jennifer Weaver DVM",326.93
629,"Dustin Foley",326.26
982,"Luke Mckinney",325.28
788,"Thomas Beasley",325.04
564,"Kimberly Burgess",324.01
814,"Mia Richardson",323.98
825,"Jade Manning",322.40
313,"Luis Parker",321.62
714,"Kimberly Rivera",321.60
280,"Michael Hull",320.34
387,"Christine Bryant",320.26
159,"Donald Edwards",319.58
762,"Alexandra Williams",319.19
88,"Elizabeth Lucas",319.07
736,"Jeffrey Wilson",319.06
711,"Shawn Coffey",318.68
616,"Belinda Harper",318.14
716,"Tammy Moore",317.55
416,"Shannon Clark",316.39
93,"Rebecca Scott",315.81
44,"Glenn Conner",315.50
43,"Frank Orr",313.58
684,"Michael Fitzgerald",311.59
156,"Paul Shepherd",311.45
558,"George Johnson",310.16
965,"Samuel Davis",309.73
960,"Heather Anderson",306.20
977,"Robert Rivera",303.28
455,"William Vasquez",302.45
11,"Zachary Smith",301.18
775,"Carlos Austin",299.51
925,"Erin Peters",292.26
555,"Sharon Santana",291.39
493,"Maria Soto",29.18
579,"James Stafford",287.76
522,"Kari Trevino",285.85
103,"Carrie Nunez",285.78
527,"Michelle Morales",285.50
856,"Charles Sanchez",282.98
319,"Yesenia Martinez",282.13
898,"Alicia Davis",282.02
432,"Anthony Wade",282.02
944,"Sarah Williams",281.70
219,"Kristen Fry",281.54
582,"Tyler King",281.16
990,"Robert Fisher",28.90
116,"Denise Edwards",277.67
604,"Jessica Gordon",276.78
700,"James Choi",276.74
98,"Tyler Garrett",275.24
291,"Frederick Patton",272.66
424,"Rebecca Pope",271.82
844,"Crystal Donaldson",271.39
451,"Michael Garcia",267.71
674,"Joshua Phillips",267.62
414,"Sergio Gonzales",267.26
268,"Dana Williams",265.02
289,"Andrew Turner",262.46
554,"Michael Clark",262.36
871,"Brian Johnson",262.05
166,"Denise Preston",261.92
125,"Tiffany Turner",26.83
491,"Emily Johnson",257.11
565,"Jose Yates",256.10
263,"Christopher Walls",254.66
149,"Brittney Wade",251.92
67,"Melanie Martin",250.10
80,"James Brock",249.59
511,"Jacob Davis",246.59
248,"Lori Chang",246.05
186,"Michael Shaw",245.21
772,"Willie Graham",242.62
562,"Mrs. Shelby Harris MD",240.68
427,"Mariah Mitchell",240.32
179,"Mrs. Sheila Taylor",236.54
703,"Carlos Newman",234.92
99,"Fernando Hendrix",232.49
465,"Kathy Leach",230.73
994,"Robert Beck",23.28
701,"Emma Moore",227.13
621,"Isabel Taylor",226.89
457,"Kim Garcia",221.32
494,"Michael Garrison",22.44
741,"Dr. John George",201.55
39,"Wendy Cortez",200.15
763,"David Randall",20.65
431,"Donald Tucker",199.25
153,"Jessica Powell",195.77
753,"Michael Carter",194.40
500,"James Morales",194.15
355,"Allison Madden",193.59
96,"Stephanie Henderson",193.10
18,"Cheryl Coleman",192.77
75,"Corey Mccarthy",191.12
833,"Richard Daugherty",186.99
63,"Kevin Orr",186.88
645,"Anthony Lopez",184.44
404,"Crystal Garza",183.98
963,"Robin Anderson",183.45
476,"Adam Riley",182.64
169,"Alice Carpenter",179.29
888,"Linda Roman",176.41
210,"Brittany Aguirre",173.48
360,"Joseph Rivera",172.44
392,"Christopher Flores",170.41
441,"Jeffrey Bell",167.07
435,"Raymond Smith",160.06
532,"Jason Richard",159.97
52,"Erik Fleming MD",159.84
126,"Christine Horne",153.47
447,"Brian Carter",148.48
53,"Gregory Rose",147.61
850,"Angela Campbell",147.28
143,"Kristin Perez",144.37
777,"Anne Burns",143.57
286,"Sara Travis",141.40
524,"Angelica Morris",140.46
443,"Julie Golden",136.75
399,"Shirley Rios",131.02
498,"Jonathan Page",131.01
189,"Jerry Smith",129.69
537,"Maria Page",125.40
208,"Annette Stephens",125.01
73,"Megan Rogers",124.64
334,"Paula Porter",124.52
141,"Allison Williams",121.30
485,"Laurie Taylor",112.51
552,"Julie Todd",112.36
938,"Donna Cummings",109.83
252,"John Hunter",108.90
670,"Timothy Wolfe",103.67
10,"Calvin Mckenzie",100.65
