CustomerID,Name,CustomerSegment,TotalSpent
198,"Nicole Cunningham",Medium-Value,835.79
272,"Rhonda Wells",Medium-Value,835.13
214,"Stephen Bonilla",Medium-Value,834.98
606,"Travis Williams",Medium-Value,834.52
866,"Patricia Davis",Medium-Value,833.41
950,"Robert Hammond",Medium-Value,827.31
350,"Monica Williams",Medium-Value,823.86
596,"Kimberly Sawyer",Medium-Value,819.30
623,"Joseph Brown",Medium-Value,818.86
291,"Frederick Patton",Medium-Value,817.99
776,"Jennifer Hernandez",Medium-Value,815.99
844,"Crystal Donaldson",Medium-Value,814.18
177,"Alejandro Green",Low-Value,80.28
791,"Jodi Dominguez",Medium-Value,799.46
36,"Crystal Hoffman",Medium-Value,799.19
289,"Andrew Turner",Medium-Value,787.37
644,"Michael Hernandez",Medium-Value,785.54
27,"Karen Graham DDS",Low-Value,78.30
930,"Patrick Hunt",Medium-Value,779.40
491,"Emily Johnson",Medium-Value,771.33
565,"Jose Yates",Medium-Value,768.31
964,"Emily Cantu",Medium-Value,766.62
873,"Christine Harris",Medium-Value,761.40
534,"John Mccormick",Medium-Value,760.95
410,"Rhonda Walker",Medium-Value,755.73
546,"Lisa Juarez",Medium-Value,752.89
548,"Aaron Vance",Medium-Value,750.22
809,"Phillip Johnson",Medium-Value,747.15
304,"Laura Smith",Medium-Value,743.00
947,"Taylor Grant",Medium-Value,742.77
511,"Jacob Davis",Medium-Value,739.78
186,"Michael Shaw",Medium-Value,735.62
446,"Sandra Cooper",Medium-Value,734.33
7,"Dr. Paula Perry",Medium-Value,734.14
402,"Destiny Fernandez",Medium-Value,732.59
587,"Elizabeth Owen",Medium-Value,732.46
340,"Carolyn Keller",Medium-Value,731.19
147,"Frederick Guzman",Medium-Value,729.75
136,"Mark Hendricks",Medium-Value,728.31
772,"Willie Graham",Medium-Value,727.85
128,"Derek Kelly",Medium-Value,727.69
438,"Robert Williams",Medium-Value,725.86
427,"Mariah Mitchell",Medium-Value,720.95
580,"Dawn Dennis",Medium-Value,714.57
906,"Lori Scott",Medium-Value,713.77
654,"Aaron Smith",Low-Value,71.99
828,"Jocelyn Myers",Medium-Value,704.20
957,"Jamie Palmer",Medium-Value,704.05
656,"Andrew Taylor",Medium-Value,703.40
459,"Debbie Evans",Medium-Value,699.20
237,"Troy Banks",Medium-Value,698.43
510,"Lawrence Hernandez",Medium-Value,697.83
132,"Nicholas Sanders",Medium-Value,696.54
145,"Ricky Gonzalez",Medium-Value,695.15
551,"Toni Long",Medium-Value,694.10
465,"Kathy Leach",Medium-Value,692.19
916,"Katie Young",Medium-Value,691.97
583,"Sara Mendoza",Medium-Value,691.32
240,"Michael Sullivan",Medium-Value,687.86
316,"Kyle Davidson",Medium-Value,684.89
369,"Jennifer Bryant",Low-Value,68.18
46,"Carla Cook",Medium-Value,678.87
434,"Mallory Faulkner",Medium-Value,677.60
124,"Garrett Wright",Medium-Value,675.11
324,"Trevor Gordon",Medium-Value,671.81
545,"Christopher Ashley",Medium-Value,671.22
897,"Carla Hess",Low-Value,67.08
170,"Kathryn Hunt",Medium-Value,669.77
356,"James Little",Medium-Value,666.65
209,"Michael Lamb",Medium-Value,666.55
518,"Mrs. Danielle Chandler",Medium-Value,664.94
530,"Rebecca Payne",Medium-Value,663.66
381,"Jeffrey Williams",Medium-Value,660.07
541,"Mark Rodriguez",Medium-Value,657.60
666,"Matthew Dickson",Medium-Value,656.68
97,"Jennifer Weaver DVM",Medium-Value,653.86
482,"Keith Smith",Medium-Value,652.90
982,"Luke Mckinney",Medium-Value,650.55
23,"Jessica Byrd",Low-Value,65.43
224,"Jennifer Jackson",Medium-Value,649.92
814,"Mia Richardson",Medium-Value,647.95
825,"Jade Manning",Medium-Value,644.80
412,"Crystal Porter",Medium-Value,643.98
594,"Ricardo Wolfe",Medium-Value,642.10
649,"Thomas Thomas",Medium-Value,640.82
387,"Christine Bryant",Medium-Value,640.51
661,"Cheryl Nichols",Medium-Value,639.51
736,"Jeffrey Wilson",Medium-Value,638.12
973,"Sheila Martin",Medium-Value,631.44
581,"Sylvia Lee",Medium-Value,629.88
619,"Laura Williams",Medium-Value,627.97
585,"Victor Davis",Medium-Value,627.75
684,"Michael Fitzgerald",Medium-Value,623.18
415,"Stephanie Richmond",Low-Value,62.42
295,"Christopher Brooks",Medium-Value,618.60
927,"Denise Smith",Medium-Value,617.46
25,"Shari King",Medium-Value,612.49
960,"Heather Anderson",Medium-Value,612.39
951,"Gregory Anderson",Medium-Value,612.31
698,"Jacqueline Rodriguez",Medium-Value,611.73
171,"Jennifer Miller",Medium-Value,611.61
38,"Jacob Brown",Medium-Value,609.42
669,"Eric Morrison",Medium-Value,608.08
977,"Robert Rivera",Medium-Value,606.56
455,"William Vasquez",Medium-Value,604.89
6,"Tracy Whitaker",Medium-Value,603.78
775,"Carlos Austin",Medium-Value,599.01
431,"Donald Tucker",Medium-Value,597.76
903,"Robert Holmes",Medium-Value,596.14
335,"Robert Harmon",Medium-Value,590.50
639,"Wayne Matthews",Medium-Value,587.37
555,"Sharon Santana",Medium-Value,582.77
89,"Chad Snyder",Medium-Value,578.49
694,"Kenneth Leon",Medium-Value,576.82
164,"Jessica Maddox",Medium-Value,575.97
840,"Sierra Taylor",Medium-Value,575.85
579,"James Stafford",Medium-Value,575.52
522,"Kari Trevino",Medium-Value,571.70
527,"Michelle Morales",Medium-Value,570.99
79,"Christopher Schultz",Medium-Value,568.96
348,"Gregory Adams",Medium-Value,568.88
188,"Crystal Sanchez",Medium-Value,567.97
908,"Kayla Santana",Medium-Value,566.59
683,"Adrian Martin",Medium-Value,562.15
116,"Denise Edwards",Medium-Value,555.34
700,"James Choi",Medium-Value,553.48
869,"Robert Turner",Medium-Value,551.28
190,"Philip Carter",Medium-Value,544.33
687,"Kimberly Nelson",Medium-Value,543.93
169,"Alice Carpenter",Medium-Value,537.88
451,"Michael Garcia",Medium-Value,535.41
492,"Jeremy Wilson",Medium-Value,534.95
568,"Danielle Parker",Medium-Value,530.08
554,"Michael Clark",Medium-Value,524.72
344,"Brian Keller",Medium-Value,524.24
515,"Angela Martin DVM",Medium-Value,519.51
420,"Morgan Paul",Medium-Value,519.20
513,"Ryan Warren",Medium-Value,512.30
724,"Amy Perez",Medium-Value,511.36
651,"Suzanne Sanchez",Medium-Value,511.35
121,"Elizabeth Ware",Medium-Value,510.18
308,"Lisa Higgins",Medium-Value,509.34
263,"Christopher Walls",Medium-Value,509.31
310,"Charles Wilson",Medium-Value,507.73
149,"Brittney Wade",Medium-Value,503.83
748,"Mr. Daryl Lopez",Medium-Value,502.94
846,"Alicia Mcintyre",Medium-Value,501.27
820,"Alicia Riley",Medium-Value,500.92
67,"Melanie Martin",Medium-Value,500.20
225,"Allison Rodriguez",Low-Value,50.68
80,"James Brock",Low-Value,499.18
248,"Lori Chang",Low-Value,492.10
5,"Mercedes Riley",Low-Value,485.96
562,"Mrs. Shelby Harris MD",Low-Value,481.36
864,"Erin Howard",Low-Value,47.25
395,"Raymond Lee",Low-Value,47.00
812,"Spencer Hill",Low-Value,467.41
933,"Charles Hernandez",Low-Value,467.19
472,"Brian Suarez",Low-Value,466.46
99,"Fernando Hendrix",Low-Value,464.97
109,"John Turner",Low-Value,462.24
203,"Anthony Gonzalez",Low-Value,456.92
627,"Maria Stout",Low-Value,454.18
621,"Isabel Taylor",Low-Value,453.77
187,"Kayla Myers",Low-Value,44.56
887,"Loretta Hughes",Low-Value,439.62
838,"James Russo",Low-Value,438.13
839,"Richard Shields",Low-Value,433.44
658,"Kathryn Thomas",Low-Value,423.95
327,"Corey Snyder",Low-Value,42.75
642,"April Sullivan",Low-Value,410.09
39,"Wendy Cortez",Low-Value,400.30
590,"Michael Hughes",Low-Value,40.84
757,"Julie Robinson",High-Value,"4,698.87"
29,"Julia Brown",High-Value,"4,455.40"
108,"Anthony Ramos",High-Value,"4,180.90"
566,"Linda Mcpherson",High-Value,"4,102.86"
153,"Jessica Powell",Low-Value,391.54
500,"James Morales",Low-Value,388.29
355,"Allison Madden",Low-Value,387.18
734,"Jennifer Hernandez",Low-Value,382.87
75,"Corey Mccarthy",Low-Value,382.23
134,"Jennifer Lopez",Low-Value,381.10
241,"Lisa Watson",Low-Value,379.28
882,"Jacqueline Campbell",Low-Value,378.66
302,"Beverly Skinner",Low-Value,378.48
371,"Erin Flores",Low-Value,372.22
645,"Anthony Lopez",Low-Value,368.88
963,"Robin Anderson",Low-Value,366.89
215,"Adam Lopez",Low-Value,366.64
129,"Carl Hinton",Low-Value,365.98
429,"Sherri Alexander",Low-Value,362.92
713,"Jose Hicks",Low-Value,361.40
991,"Joel Newman",Low-Value,361.02
403,"Katherine Roberson",Low-Value,36.56
983,"Abigail Daniels",Low-Value,359.96
902,"Tammy Clark",Low-Value,358.37
330,"Margaret Arias",Low-Value,357.66
728,"Katelyn Weaver",Low-Value,352.76
384,"Sara Griffith",Low-Value,350.32
665,"William Lopez",Low-Value,348.22
357,"Cindy Petty",Low-Value,348.11
962,"Thomas Jones",Low-Value,347.69
210,"Brittany Aguirre",Low-Value,346.95
392,"Christopher Flores",Low-Value,340.81
277,"Jeffrey Fields",Low-Value,340.69
441,"Jeffrey Bell",Low-Value,334.14
920,"Paige Miller",Low-Value,331.42
533,"Jennifer Key",Low-Value,330.94
364,"Rodney Thomas",Low-Value,33.01
313,"Luis Parker",Low-Value,321.62
714,"Kimberly Rivera",Low-Value,321.60
435,"Raymond Smith",Low-Value,320.12
52,"Erik Fleming MD",Low-Value,319.67
716,"Tammy Moore",Low-Value,317.55
93,"Rebecca Scott",Low-Value,315.81
44,"Glenn Conner",Low-Value,315.50
126,"Christine Horne",Low-Value,306.94
784,"Pamela Shelton",High-Value,"3,981.43"
742,"Amy Cook",High-Value,"3,928.45"
359,"Daniel Mason",High-Value,"3,798.65"
68,"Ruth Shields",High-Value,"3,734.97"
529,"Mrs. Jessica Wilson",High-Value,"3,673.14"
282,"Amanda Watts",High-Value,"3,661.42"
158,"Sarah Hood",High-Value,"3,654.80"
966,"Matthew Brooks",High-Value,"3,646.96"
90,"Kristin Alexander",High-Value,"3,642.39"
193,"Dominique Brown",High-Value,"3,625.70"
426,"Susan Taylor",High-Value,"3,625.62"
997,"Melissa Brown",High-Value,"3,581.57"
317,"James Fletcher",High-Value,"3,488.43"
178,"Leah Griffin",High-Value,"3,476.44"
49,"Jasmin Patel",High-Value,"3,457.27"
213,"Joseph Clark",High-Value,"3,455.74"
854,"Jasmine Nguyen",High-Value,"3,433.00"
560,"Michael Campbell",High-Value,"3,406.24"
662,"Jennifer Olsen",High-Value,"3,393.63"
727,"Johnny Parker",High-Value,"3,268.66"
259,"Tamara Hamilton",High-Value,"3,256.19"
958,"Rick Alexander",High-Value,"3,254.83"
236,"Justin Wilkinson",High-Value,"3,226.47"
922,"Mrs. Mary Johnson",High-Value,"3,212.75"
315,"Mary Moore",High-Value,"3,210.38"
638,"Jose Brown",High-Value,"3,205.96"
972,"Robert Vazquez",High-Value,"3,160.00"
968,"Darlene Mcintosh",High-Value,"3,159.21"
610,"Andrew Holloway",High-Value,"3,136.13"
653,"Melanie Stewart",High-Value,"3,135.38"
260,"Sarah Barnes",High-Value,"3,104.39"
194,"Nicholas Miller",High-Value,"3,067.92"
155,"Lisa Martinez",High-Value,"3,063.68"
386,"Charles Elliott",High-Value,"3,061.48"
250,"Michelle Lucas",High-Value,"3,039.64"
475,"Michael Little",High-Value,"3,035.28"
184,"Debra Evans",High-Value,"3,026.24"
925,"Erin Peters",Low-Value,292.26
493,"Maria Soto",Low-Value,29.18
856,"Charles Sanchez",Low-Value,282.98
319,"Yesenia Martinez",Low-Value,282.13
944,"Sarah Williams",Low-Value,281.70
219,"Kristen Fry",Low-Value,281.54
582,"Tyler King",Low-Value,281.16
524,"Angelica Morris",Low-Value,280.91
990,"Robert Fisher",Low-Value,28.90
604,"Jessica Gordon",Low-Value,276.78
98,"Tyler Garrett",Low-Value,275.24
424,"Rebecca Pope",Low-Value,271.82
414,"Sergio Gonzales",Low-Value,267.26
268,"Dana Williams",Low-Value,265.02
871,"Brian Johnson",Low-Value,262.05
399,"Shirley Rios",Low-Value,262.04
125,"Tiffany Turner",Low-Value,26.83
179,"Mrs. Sheila Taylor",Low-Value,236.54
703,"Carlos Newman",Low-Value,234.92
994,"Robert Beck",Low-Value,23.28
701,"Emma Moore",Low-Value,227.13
552,"Julie Todd",Low-Value,224.72
457,"Kim Garcia",Low-Value,221.32
494,"Michael Garrison",Low-Value,22.44
938,"Donna Cummings",Low-Value,219.65
741,"Dr. John George",Low-Value,201.55
763,"David Randall",Low-Value,20.65
831,"Michelle Becker",High-Value,"2,998.03"
744,"Dr. Tim Cisneros",High-Value,"2,987.45"
792,"Michael Harper",High-Value,"2,974.02"
948,"William Jenkins",High-Value,"2,947.40"
243,"Christine Gonzalez",High-Value,"2,935.04"
293,"Michelle Maddox",High-Value,"2,911.13"
829,"Michele Schmidt",High-Value,"2,898.32"
245,"Danielle Welch",High-Value,"2,887.71"
818,"Pamela Brown",High-Value,"2,875.66"
872,"Hector Davis",High-Value,"2,834.92"
525,"Jeffrey Moody",High-Value,"2,824.42"
444,"Melissa Greene",High-Value,"2,802.36"
495,"Linda Riley",High-Value,"2,797.25"
749,"Michelle Malone",High-Value,"2,795.58"
842,"William Blankenship",High-Value,"2,790.44"
889,"Dylan Le",High-Value,"2,774.49"
672,"Vincent Williams",High-Value,"2,745.03"
874,"Michael Coleman",High-Value,"2,743.17"
138,"Nathaniel Martin",High-Value,"2,741.86"
798,"Paul Hudson",High-Value,"2,734.24"
180,"Kristi Sexton",High-Value,"2,724.59"
750,"Jeanette Reed",High-Value,"2,720.62"
571,"Nancy Castro",High-Value,"2,716.25"
74,"Matthew Werner",High-Value,"2,714.12"
835,"Angela Lopez",High-Value,"2,703.52"
819,"Sara Williams",High-Value,"2,697.89"
64,"Daniel Johnson",High-Value,"2,686.82"
531,"Carolyn Reed",High-Value,"2,685.47"
24,"Robert Gonzales",High-Value,"2,674.00"
890,"David Ortiz",High-Value,"2,656.22"
941,"Michaela Pratt",High-Value,"2,639.95"
999,"Laura Griffin",High-Value,"2,632.64"
863,"Jessica Kennedy",High-Value,"2,619.71"
544,"Robert Flores",High-Value,"2,608.50"
423,"Ryan Lopez",High-Value,"2,605.53"
805,"Jason Potts",High-Value,"2,602.44"
569,"Robert Sutton",High-Value,"2,600.30"
162,"Ashley Krueger",High-Value,"2,594.99"
586,"Richard Nunez",High-Value,"2,586.46"
292,"Amber Bailey",High-Value,"2,580.34"
917,"Cody Bowman",High-Value,"2,574.56"
345,"Anna Bryant",High-Value,"2,566.63"
204,"Clinton Holland",High-Value,"2,566.13"
981,"Jason Roach",High-Value,"2,562.76"
100,"Tracy Sharp MD",High-Value,"2,559.63"
726,"Andrew Riddle",High-Value,"2,557.32"
978,"Joseph Mills",High-Value,"2,555.00"
796,"Michael Harris",High-Value,"2,550.20"
699,"Roger Brown",High-Value,"2,539.14"
986,"Ann Schaefer",High-Value,"2,535.55"
620,"James Ewing",High-Value,"2,505.58"
206,"Anna Wells",High-Value,"2,501.72"
26,"Brandon Brown",High-Value,"2,499.65"
690,"James Smith",High-Value,"2,497.51"
354,"Thomas Ramirez",High-Value,"2,494.64"
305,"Zachary Thompson",High-Value,"2,480.61"
450,"Christopher Olson",High-Value,"2,470.33"
575,"Linda Lawson",High-Value,"2,465.68"
899,"Jeremiah Thomas",High-Value,"2,454.64"
975,"Rhonda Jones",High-Value,"2,450.71"
609,"Jeremy Mahoney",High-Value,"2,449.24"
122,"Miss Amanda Williams",High-Value,"2,441.96"
242,"Adrienne Carrillo",High-Value,"2,415.37"
218,"Samantha Odonnell",High-Value,"2,413.50"
667,"Rebekah Carter",High-Value,"2,404.69"
328,"Paul Garza",High-Value,"2,399.67"
48,"Gregory Powell",High-Value,"2,399.33"
516,"Jennifer Gregory",High-Value,"2,391.91"
234,"David Taylor",High-Value,"2,391.60"
676,"Veronica Sparks",High-Value,"2,386.94"
867,"Jennifer Velasquez",High-Value,"2,383.20"
300,"Richard Thomas",High-Value,"2,375.56"
878,"Christine Watson",High-Value,"2,373.34"
71,"Margaret Scott",High-Value,"2,373.27"
85,"Richard Day",High-Value,"2,370.13"
595,"Gwendolyn Bradley",High-Value,"2,356.17"
538,"Nicholas Knight",High-Value,"2,343.26"
362,"Lisa Mcintyre",High-Value,"2,336.00"
945,"Lisa Murphy",High-Value,"2,332.32"
769,"Mrs. Lisa Griffith",High-Value,"2,329.66"
333,"Alexandra Bradley",High-Value,"2,318.48"
939,"Jeffrey Roberts",High-Value,"2,314.35"
626,"Michael Jackson",High-Value,"2,313.73"
563,"Jose Rice",High-Value,"2,313.63"
211,"Darrell Andrews",High-Value,"2,302.57"
57,"Jeffrey Davis",High-Value,"2,299.39"
258,"Mrs. Samantha Walker",High-Value,"2,296.55"
979,"Christopher Smith",High-Value,"2,283.11"
66,"Kelsey Holder",High-Value,"2,277.67"
37,"James Hernandez",High-Value,"2,273.20"
314,"Deborah Pacheco",High-Value,"2,268.11"
144,"Veronica Morris",High-Value,"2,267.91"
338,"Brandi Romero",High-Value,"2,265.83"
4,"Jason Jones",High-Value,"2,260.78"
309,"Kimberly Johnson",High-Value,"2,258.76"
883,"Glenn Grant",High-Value,"2,258.58"
396,"Mrs. Jessica Brown",High-Value,"2,258.10"
827,"Steven Garcia",High-Value,"2,243.85"
374,"Colleen Davila",High-Value,"2,242.05"
199,"Miss Jane Johnson",High-Value,"2,238.49"
503,"Stefanie Valenzuela",High-Value,"2,235.80"
851,"John Rowland",High-Value,"2,231.99"
946,"Robert Bradley",High-Value,"2,229.64"
363,"Trevor Martinez",High-Value,"2,220.58"
668,"Lisa Chase",High-Value,"2,215.95"
781,"Lisa Snow",High-Value,"2,200.08"
584,"Paula Erickson",High-Value,"2,196.49"
223,"Krystal Gregory",High-Value,"2,196.33"
34,"Kyle Rose",High-Value,"2,191.68"
907,"Richard Hamilton",High-Value,"2,186.82"
449,"John Wells",High-Value,"2,176.39"
222,"Christopher Mcgrath",High-Value,"2,175.66"
822,"Alejandro Miller",High-Value,"2,174.95"
504,"Jeffrey Cooley",High-Value,"2,166.13"
298,"Ryan Sims",High-Value,"2,159.07"
745,"Tracey Medina",High-Value,"2,153.94"
989,"John Taylor",High-Value,"2,128.08"
879,"Jeffrey Mendoza",High-Value,"2,124.63"
483,"John Bauer",High-Value,"2,120.69"
325,"Jessica Reilly",High-Value,"2,120.12"
168,"Harry Arnold",High-Value,"2,120.05"
433,"Jennifer Garcia",High-Value,"2,103.22"
572,"Shannon Perez",High-Value,"2,103.06"
62,"Kelly Floyd",High-Value,"2,098.14"
92,"Caroline Ward",High-Value,"2,096.78"
22,"Bethany Weaver",High-Value,"2,095.63"
577,"Donald Tran",High-Value,"2,071.25"
254,"Melissa Jenkins",High-Value,"2,065.48"
372,"Robin Stephens",High-Value,"2,061.72"
919,"Hunter Mercer",High-Value,"2,059.68"
778,"Jason Carson",High-Value,"2,047.64"
264,"Bill Pena",High-Value,"2,044.86"
970,"Robert Dickson",High-Value,"2,043.08"
512,"Jasmine Bates",High-Value,"2,037.31"
766,"Thomas Beck",High-Value,"2,036.58"
824,"Robert Rodriguez",High-Value,"2,035.60"
8,"Sean Lee",High-Value,"2,031.64"
708,"Tammy Williams",High-Value,"2,031.41"
517,"Christopher Griffith",High-Value,"2,028.85"
614,"Tara Doyle",High-Value,"2,026.86"
790,"Philip Morris",High-Value,"2,019.27"
681,"Kari Miller",High-Value,"2,016.55"
35,"Ariel Harris",High-Value,"2,015.74"
847,"Brian Russell",High-Value,"2,013.73"
876,"Andrea Flores",High-Value,"2,012.41"
339,"Vickie Anderson",High-Value,"2,006.79"
111,"Tara Franklin",High-Value,"2,001.39"
135,"Sharon Hughes",High-Value,"2,000.93"
753,"Michael Carter",Low-Value,194.40
96,"Stephanie Henderson",Low-Value,193.10
18,"Cheryl Coleman",Low-Value,192.77
833,"Richard Daugherty",Low-Value,186.99
63,"Kevin Orr",Low-Value,186.88
404,"Crystal Garza",Low-Value,183.98
476,"Adam Riley",Low-Value,182.64
888,"Linda Roman",Low-Value,176.41
360,"Joseph Rivera",Low-Value,172.44
532,"Jason Richard",Low-Value,159.97
636,"Terry Parrish",Low-Value,154.98
760,"Cynthia Waters",Low-Value,149.31
447,"Brian Carter",Low-Value,148.48
53,"Gregory Rose",Low-Value,147.61
850,"Angela Campbell",Low-Value,147.28
143,"Kristin Perez",Low-Value,144.37
777,"Anne Burns",Low-Value,143.57
286,"Sara Travis",Low-Value,141.40
443,"Julie Golden",Low-Value,136.75
498,"Jonathan Page",Low-Value,131.01
189,"Jerry Smith",Low-Value,129.69
537,"Maria Page",Low-Value,125.40
208,"Annette Stephens",Low-Value,125.01
73,"Megan Rogers",Low-Value,124.64
334,"Paula Porter",Low-Value,124.52
141,"Allison Williams",Low-Value,121.30
405,"Lauren Bruce",Low-Value,114.64
485,"Laurie Taylor",Low-Value,112.51
252,"John Hunter",Low-Value,108.90
670,"Timothy Wolfe",Low-Value,103.67
10,"Calvin Mckenzie",Low-Value,100.65
50,"Christopher Baker",High-Value,"1,999.50"
101,"Yesenia Cowan",High-Value,"1,999.48"
78,"Kyle Jackson",High-Value,"1,997.33"
752,"Tricia Santana",High-Value,"1,994.28"
394,"Rebecca Frank",High-Value,"1,992.04"
664,"Samuel Huff",High-Value,"1,983.89"
110,"Pamela Perez",High-Value,"1,983.55"
971,"Frank Robles",High-Value,"1,982.56"
266,"Robert Mcbride",High-Value,"1,979.94"
860,"Samuel Holmes",High-Value,"1,978.65"
924,"Cheryl Miles",High-Value,"1,975.50"
800,"Julia Brennan",High-Value,"1,970.35"
804,"Mrs. Margaret Moore MD",High-Value,"1,970.07"
390,"David Jacobson",High-Value,"1,966.67"
547,"Charles Collins",High-Value,"1,959.84"
738,"Tammie Clark",High-Value,"1,956.75"
895,"Brandi Pittman",High-Value,"1,953.78"
673,"Jeffrey Williams",High-Value,"1,951.69"
967,"Sarah Chavez",High-Value,"1,949.12"
542,"Jeffrey Mason",High-Value,"1,945.12"
896,"Miss April Reynolds",High-Value,"1,944.86"
570,"Chad Townsend",High-Value,"1,942.56"
200,"George Hughes",High-Value,"1,939.08"
884,"Heather Chavez",High-Value,"1,938.48"
905,"Ryan Murray",High-Value,"1,936.17"
807,"Nathan Rowe",High-Value,"1,931.68"
855,"Timothy Griffith",High-Value,"1,924.28"
406,"James Benson",High-Value,"1,923.91"
550,"Danielle Sanders",High-Value,"1,919.30"
388,"Debra Watkins",High-Value,"1,916.10"
918,"Cindy Pratt",High-Value,"1,906.18"
229,"Mark Reyes",High-Value,"1,905.49"
630,"Melissa Smith",High-Value,"1,903.42"
130,"Joe Salinas",High-Value,"1,898.71"
501,"Peter Waller",High-Value,"1,890.64"
836,"Catherine Walker",High-Value,"1,889.34"
285,"Blake Mendoza",High-Value,"1,887.83"
641,"Richard Beltran",High-Value,"1,878.46"
600,"Sierra Gonzalez",High-Value,"1,868.42"
877,"Alison Lee",High-Value,"1,861.79"
58,"Brandy Anderson",High-Value,"1,857.39"
140,"Angela Allen",High-Value,"1,855.92"
14,"Patrick Mcdaniel",High-Value,"1,853.70"
528,"Rodney Blackwell",High-Value,"1,852.08"
59,"Michelle Murphy",High-Value,"1,850.77"
795,"Hannah Wells",High-Value,"1,848.95"
